ID,BOLSISTA,SINALIZADOR_INGRESSANTE,ANOS_PM,ANO_PESQUISA,INDE,IAA,IEG,IPS,IDA,IPP,IPV,IAN,INSTITUICAO_ENSINO_ALUNO,FASE,TURMA,PEDRA,PONTO_VIRADA
266,0,0,1,2020,8.336,8.5,8.9,5.625,8.5,8.438,8.0,10.0,Escola Pública,1,B,Ametista,0
267,1,0,2,2020,8.371,9.167,9.7,5.625,8.0,8.958,9.778,5.0,Rede Decisão/União,3,J,Ametista,1
269,0,0,1,2020,7.099,7.5,8.6,7.5,5.75,7.292,7.5,5.0,Escola Pública,1,J,Ágata,0
270,0,0,3,2020,7.19,6.667,4.2,4.375,8.667,8.125,8.5,10.0,Escola Pública,3,C,Ágata,0
273,0,0,2,2020,4.387,9.0,4.4,7.5,0.0,7.292,4.389,2.5,Escola Pública,1,R,Quartzo,0
274,0,0,2,2020,6.113,7.917,5.6,7.5,3.667,7.292,7.444,5.0,Escola Pública,5,A,Ágata,0
275,0,0,3,2020,6.399,10.0,5.2,7.5,4.333,6.094,5.667,10.0,Escola Pública,3,M,Ágata,0
277,0,0,2,2020,8.019,9.5,8.4,5.625,10.0,7.708,7.778,5.0,Escola Pública,1,E,Ametista,0
278,0,0,1,2020,8.241,8.75,9.6,9.375,7.333,8.75,8.333,5.0,Escola Pública,5,L,Ametista,0
280,0,0,2,2020,6.646,8.5,6.2,5.0,6.5,6.562,8.0,5.0,Escola Pública,1,F,Ágata,0
284,0,1,0,2020,7.902,7.917,9.9,7.5,7.667,7.969,7.75,5.0,Escola Pública,3,A,Ametista,0
285,0,1,0,2020,5.113,9.5,0.0,7.5,1.0,8.125,7.0,10.0,Escola Pública,2,D,Quartzo,0
286,0,1,0,2020,6.956,8.0,6.0,6.875,7.5,7.188,7.75,5.0,Escola Pública,1,G,Ágata,0
287,0,0,1,2020,8.302,7.417,8.5,7.5,7.5,8.438,8.833,10.0,Escola Pública,2,H,Ametista,1
288,0,1,0,2020,6.84,9.0,7.7,7.5,3.75,8.333,7.833,5.0,Escola Pública,2,C,Ágata,0
292,0,0,1,2020,8.486,10.0,9.9,6.875,7.667,8.958,9.444,5.0,Escola Pública,4,B,Topázio,1
293,0,0,1,2020,4.416,6.667,1.3,4.375,0.0,7.188,6.667,10.0,Escola Pública,5,F,Quartzo,0
295,0,0,3,2020,7.586,9.0,8.9,4.375,7.25,4.688,7.75,10.0,Escola Pública,1,D,Ametista,0
296,0,1,0,2020,7.713,9.0,8.9,7.5,5.0,7.5,7.667,10.0,Escola Pública,2,B,Ametista,0
297,0,0,1,2020,7.201,8.333,8.7,4.375,6.0,8.125,8.389,5.0,Escola Pública,3,J,Ágata,0
298,0,0,2,2020,6.337,8.5,6.6,5.0,6.5,5.0,6.833,5.0,Escola Pública,1,G,Ágata,0
299,1,0,4,2020,8.388,5.833,10.0,5.625,9.2,0.0,0.0,10.0,Estácio,8,A,Ametista,0
300,1,0,1,2020,6.777,9.167,0.0,7.5,8.4,0.0,0.0,10.0,UNISA,8,A,Ágata,0
301,0,0,1,2020,8.848,10.0,9.2,7.5,9.5,7.917,7.833,10.0,Escola Pública,1,J,Topázio,0
305,1,0,2,2020,7.361,8.5,8.3,7.5,6.5,6.458,8.278,5.0,Rede Decisão/União,2,J,Ametista,0
306,0,0,1,2020,3.891,6.667,1.4,4.375,0.0,5.156,4.958,10.0,Escola Pública,7,B,Quartzo,0
309,0,0,1,2020,8.2,8.5,6.5,7.5,10.0,7.5,7.75,10.0,Escola Pública,1,G,Ametista,0
312,0,0,1,2020,8.509,10.0,9.1,7.5,8.5,5.833,8.278,10.0,Escola Pública,2,J,Topázio,0
313,0,1,0,2020,7.9,7.5,10.0,7.5,6.5,7.5,6.75,10.0,Escola Pública,0,F,Ametista,0
315,0,0,1,2020,9.461,9.167,10.0,9.375,8.667,8.958,9.889,10.0,Escola Pública,4,A,Topázio,1
316,0,1,0,2020,6.428,7.417,7.7,7.5,0.0,8.125,7.917,10.0,Escola Pública,2,M,Ágata,0
318,0,1,0,2020,8.3,9.0,10.0,7.5,10.0,7.5,7.0,5.0,Escola Pública,0,B,Ametista,0
